sku,name,category,price,stock
ST-5506,compact glass crate,storage,39.50,35
ST-7912,classic ceramic crate,storage,19.00,23
KI-4257,compact ceramic grinder,kitchen,129.99,56
OF-1106,portable fabric tray,office,29.99,87
OU-6514,heavy-duty fabric cooler,outdoor,24.00,97
AU-5333,slim ceramic earbuds,audio,19.99,137
AU-5803,classic ceramic soundbar,audio,149.95,147
KI-4733,compact glass kettle,kitchen,49.00,218
KI-8428,wireless bamboo kettle,kitchen,59.50,94
OU-2169,portable glass cooler,outdoor,149.50,136
ST-7216,modern aluminum bin,storage,49.50,175
OU-1525,heavy-duty fabric lantern,outdoor,59.99,68
AU-9179,slim oak headphones,audio,79.99,36
OU-9830,heavy-duty glass cooler,outdoor,49.99,229
LI-3266,slim oak strip,lighting,129.99,23
AU-3621,modern glass speaker,audio,79.00,98
OF-5119,stackable ceramic tray,office,129.00,174
ST-6573,portable fabric crate,storage,24.95,111
KI-5315,compact glass blender,kitchen,129.50,129
AU-7126,heavy-duty oak earbuds,audio,29.00,153
OU-6947,compact steel tarp,outdoor,49.50,14
KI-8962,classic steel scale,kitchen,24.50,32
ST-9645,modern bamboo shelf,storage,149.99,246
KI-6107,heavy-duty glass scale,kitchen,79.95,112
LI-4681,classic oak strip,lighting,24.95,5
LI-4608,heavy-duty ceramic spot,lighting,19.00,181
ST-1514,heavy-duty steel crate,storage,59.00,131
KI-9834,stackable oak toaster,kitchen,29.99,62
OF-2588,heavy-duty steel stand,office,79.95,108
OF-2612,compact glass stand,office,19.99,186
OU-4116,heavy-duty oak lantern,outdoor,129.99,35
OF-5092,portable aluminum organizer,office,24.99,206
LI-9856,compact glass sconce,lighting,19.00,237
KI-8886,wireless aluminum grinder,kitchen,39.99,231
AU-7396,wireless steel headphones,audio,49.99,73
OF-4111,stackable oak tray,office,49.50,247
AU-6138,compact glass microphone,audio,19.00,149
OF-9320,modern steel tray,office,24.50,17
LI-2964,heavy-duty aluminum sconce,lighting,149.50,148
LI-9565,classic aluminum sconce,lighting,59.95,52
ST-7484,heavy-duty bamboo rack,storage,29.95,117
OU-2638,compact aluminum lantern,outdoor,24.50,129
OU-5002,slim steel cooler,outdoor,59.95,40
OF-9666,portable ceramic tray,office,19.95,238
ST-2891,modern bamboo crate,storage,24.50,69
OU-6617,heavy-duty glass flask,outdoor,39.95,129
OF-7939,compact steel lamp,office,49.00,0
OU-8239,portable oak cooler,outdoor,129.99,143
AU-3442,classic glass speaker,audio,129.00,213
OU-3088,modern aluminum flask,outdoor,19.95,93
AU-5088,heavy-duty glass earbuds,audio,24.95,199
LI-3662,modern oak strip,lighting,29.99,6
KI-5065,wireless fabric toaster,kitchen,49.50,201
ST-1634,wireless fabric crate,storage,99.50,51
OF-4728,portable fabric lamp,office,39.00,168
KI-2137,slim bamboo blender,kitchen,49.95,164
LI-2889,slim steel strip,lighting,49.50,148
OU-8119,classic ceramic lantern,outdoor,59.95,111
LI-4114,classic aluminum spot,lighting,49.00,181
OF-8066,heavy-duty bamboo desk-mat,office,24.95,159
OU-6067,portable ceramic lantern,outdoor,79.95,103
ST-7888,modern oak rack,storage,79.50,157
LI-1006,wireless ceramic pendant,lighting,49.95,53
OF-8238,slim aluminum tray,office,99.50,130
OF-9445,classic bamboo organizer,office,149.95,23
KI-4262,heavy-duty fabric toaster,kitchen,29.00,11
KI-7790,classic aluminum blender,kitchen,149.50,183
ST-4997,stackable aluminum shelf,storage,29.00,228
AU-9486,heavy-duty oak soundbar,audio,99.00,142
KI-8612,stackable oak kettle,kitchen,129.95,243
OF-9976,wireless fabric tray,office,99.50,190
OF-5050,portable fabric stand,office,49.99,160
KI-5681,stackable steel toaster,kitchen,39.95,85
OU-3471,classic oak flask,outdoor,39.99,177
KI-7678,classic aluminum grinder,kitchen,59.99,106
AU-1320,wireless aluminum headphones,audio,149.99,122
AU-7389,portable fabric earbuds,audio,79.50,124
KI-1475,wireless aluminum toaster,kitchen,79.95,171
ST-8657,modern fabric shelf,storage,29.00,232
OF-8022,compact steel tray,office,29.99,46
AU-4467,wireless bamboo earbuds,audio,99.95,86
OF-2341,wireless bamboo lamp,office,99.00,191
LI-2124,slim oak sconce,lighting,19.00,243
KI-3496,compact ceramic grinder,kitchen,39.50,121
ST-5198,heavy-duty aluminum crate,storage,59.50,155
LI-2771,modern bamboo sconce,lighting,149.00,237
OU-4249,wireless aluminum flask,outdoor,24.50,26
ST-1672,classic fabric rack,storage,59.99,169
OU-7882,slim steel lantern,outdoor,99.00,110
OU-3885,modern aluminum tarp,outdoor,129.95,157
LI-5397,stackable aluminum strip,lighting,59.50,212
AU-8613,stackable oak earbuds,audio,149.99,86
AU-8988,slim oak soundbar,audio,39.95,204
OU-5526,portable ceramic stool,outdoor,129.00,132
KI-7658,heavy-duty glass kettle,kitchen,99.50,176
OF-1282,stackable fabric stand,office,24.95,56
OF-7046,portable glass organizer,office,99.95,108
ST-8434,slim bamboo box,storage,49.95,64
KI-2958,heavy-duty bamboo kettle,kitchen,129.50,49
KI-9595,portable glass blender,kitchen,149.95,25
KI-3939,heavy-duty bamboo toaster,kitchen,49.00,181
LI-1893,portable steel floor-lamp,lighting,129.95,178
KI-1200,classic fabric blender,kitchen,149.95,120
OF-1841,slim oak stand,office,49.99,29
AU-1878,stackable steel soundbar,audio,29.50,207
LI-2940,classic oak pendant,lighting,129.99,155
LI-9561,heavy-duty fabric spot,lighting,79.99,232
OF-1986,wireless bamboo lamp,office,149.00,242
KI-2330,portable glass grinder,kitchen,29.50,44
LI-7693,modern steel sconce,lighting,99.99,74
AU-5632,portable glass headphones,audio,99.00,175
KI-2880,heavy-duty aluminum toaster,kitchen,129.50,165
KI-1977,modern steel toaster,kitchen,29.95,152
ST-3037,portable aluminum box,storage,99.95,179
OF-2317,stackable aluminum lamp,office,149.00,227
OF-2496,portable steel lamp,office,39.00,195
ST-3870,compact fabric rack,storage,99.99,234
OU-9056,wireless glass cooler,outdoor,24.99,89
OF-2713,slim glass lamp,office,29.95,105
ST-7561,portable glass shelf,storage,129.00,116
